                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  3.618,                 1.8525,                 1.8545,                0.64789,                0.38048,                0.43173,                0.23518,                 3.2022,                 2.0079,                 1.9351,              0.0006535,              0.0006535,              0.0006535
                     38,                  3.565,                 1.8511,                 1.8149,                 0.6151,                0.43006,                0.48101,                0.25341,                 3.1584,                 1.9646,                  1.906,              0.0006337,              0.0006337,              0.0006337
                     37,                 3.4295,                 1.8048,                 1.8269,                0.47255,                0.46868,                0.47156,                0.24635,                 2.9678,                 1.9326,                 1.8852,              0.0006436,              0.0006436,              0.0006436
                     39,                 3.3808,                 1.7639,                 1.8055,                0.53352,                0.47448,                0.50467,                0.26604,                 3.1827,                 1.8742,                 1.9354,              0.0006238,              0.0006238,              0.0006238
                     38,                  3.565,                 1.8511,                 1.8149,                 0.6151,                0.43006,                0.48101,                0.25341,                 3.1584,                 1.9646,                  1.906,              0.0006337,              0.0006337,              0.0006337
                     40,                 3.3308,                 1.8006,                  1.807,                0.56317,                0.46883,                0.48688,                0.25276,                  3.127,                 1.8673,                 1.9354,              0.0006139,              0.0006139,              0.0006139
                     39,                 3.3808,                 1.7639,                 1.8055,                0.53352,                0.47448,                0.50467,                0.26604,                 3.1827,                 1.8742,                 1.9354,              0.0006238,              0.0006238,              0.0006238
                     41,                 3.3167,                 1.7886,                 1.8083,                0.47017,                0.40134,                0.45592,                0.24282,                 3.0057,                 1.9351,                 1.9651,               0.000604,               0.000604,               0.000604
                     40,                 3.3308,                 1.8006,                  1.807,                0.56317,                0.46883,                0.48688,                0.25276,                  3.127,                 1.8673,                 1.9354,              0.0006139,              0.0006139,              0.0006139
                     42,                 3.1851,                 1.7735,                 1.7822,                0.50906,                0.40619,                0.50028,                0.27739,                 2.9697,                  1.892,                 1.8724,              0.0005941,              0.0005941,              0.0005941
                     41,                 3.3167,                 1.7886,                 1.8083,                0.47017,                0.40134,                0.45592,                0.24282,                 3.0057,                 1.9351,                 1.9651,               0.000604,               0.000604,               0.000604
                     43,                 3.3396,                 1.8077,                 1.8022,                0.61446,                0.46446,                0.52555,                0.27335,                 3.2714,                 1.8298,                 1.8981,              0.0005842,              0.0005842,              0.0005842
                     42,                 3.1851,                 1.7735,                 1.7822,                0.50906,                0.40619,                0.50028,                0.27739,                 2.9697,                  1.892,                 1.8724,              0.0005941,              0.0005941,              0.0005941
